nll-word-b-1,nll-word-b-2,nll-word-b-3,nll-word-b-4,nll-word-b-5,nll-word-b-6,nll-word-b-7,nll-word-b-8,nll-word-b-9,nll-word-b-10,nll-word-b-11,nll-word-b-12,nll-word-b-13,nll-word-b-14,nll-word-b-15,nll-word-b-16,nll-word-b-17,nll-word-b-18,nll-word-b-19,nll-word-b-20,nll-word-b-21,nll-word-b-22,nll-word-b-23,nll-word-b-24,nll-word-b-25,nll-word-b-26,nll-word-b-27,nll-word-b-28,nll-word-b-29,nll-word-b-30,nll-word-b-31,nll-word-b-32,nll-word-b-33,nll-word-b-34,nll-word-b-35,nll-word-b-36,nll-word-b-37,nll-word-b-38,nll-word-b-39,nll-word-b-40,nll-word-b-41,nll-word-b-42,nll-word-b-43,nll-word-b-44,nll-word-b-45,nll-word-b-46,nll-word-b-47,nll-word-b-48,nll-word-b-49,nll-word-b-50,nll-word-b-51,nll-word-b-52,nll-word-b-53,nll-word-b-54,nll-word-b-55,nll-word-b-56,nll-word-b-57,nll-word-b-58,nll-word-b-59,nll-word-b-60,nll-word-b-61,nll-word-b-62,nll-word-b-63,nll-word-b-64,nll-word-b-65,nll-word-b-66,nll-word-b-67,nll-word-b-68,nll-word-b-69,nll-word-b-70,nll-word-b-71,nll-word-b-72,nll-word-b-73,nll-word-b-74,nll-word-b-75,nll-word-b-76,nll-word-b-77,nll-word-b-78,nll-word-b-79,nll-word-b-80,nll-word-b-81,nll-word-b-82,nll-word-b-83,nll-word-b-84,nll-word-b-85,nll-word-b-86,nll-word-b-87,nll-word-b-88,nll-word-b-89,nll-word-b-90,nll-word-b-91,nll-word-b-92,nll-word-b-93,nll-word-b-94,nll-word-b-95,nll-word-b-96,nll-word-b-97,nll-word-b-98,nll-word-b-99,nll-word-b-100,nll-word-b-101,nll-word-b-amount
"('first', 4.07190465927124)","('thing', 2.7678773403167725)","('I', 1.3690392971038818)","('noticed', 2.058438539505005)","('about', 2.4973325729370117)","('her', 3.4755537509918213)","('was', 0.4697779417037964)","('her', 1.3273273706436157)","('hair', 3.0309858322143555)","('It', 0.5517928004264832)","('was', 1.0209901332855225)","('long', 0.4488099217414856)","('silky', 3.6343523263931274)","('and', 5.063808441162109)","('black', 0.10440706461668015)","('She', 0.49616217613220215)","('had', 0.6553816199302673)","('a', 4.724825859069824)","('mane', 2.619288682937622)","('of', 1.2078211307525635)","('wild', 1.6888267993927002)","('curls', 5.594000495970249)","('and', 0.5469042658805847)","('her', 5.359320163726807)","('hair', 2.0308399200439453)","('cascaded', 1.3953127916902304)","('down', 0.9339704513549805)","('her', 1.4836958646774292)","('back', 2.60650634765625)","('in', 6.859500885009766)","('waves', 0.027497107163071632)","('It', 0.5770119428634644)","('was', 0.8135519027709961)","('so', 0.1032860279083252)","('long', 1.924626111984253)","('that', 2.473072052001953)","('her', 0.37209996581077576)","('face', 2.4785404205322266)","('was', 0.6431083083152771)","('barely', 3.2626430988311768)","('visible', 2.1022794246673584)","('behind', 1.2051045894622803)","('the', 2.552917957305908)","('curtain', 3.1413633823394775)","('of', 0.7745844721794128)","('hair', 3.5661072731018066)","('The', 0.46327507495880127)","('next', 4.282775402069092)","('thing', 1.6720013618469238)","('I', 3.714956045150757)","('noticed', 0.48126935958862305)","('was', 1.6102783679962158)","('her', 0.39331746101379395)","('eyes', 3.149911880493164)","('They', 4.533295631408691)","('were', 0.07108970731496811)","('the', 0.10022664070129395)","('most', 0.25729647278785706)","('unusual', 0.2508811354637146)","('shade', 0.9714601039886475)","('of', 1.4223320484161377)","('blue', 0.18737046420574188)","('almost', 0.5146074295043945)","('turquoise', 5.888589195907116)","('in', 5.948751449584961)","('color', 4.344910621643066)","('She', 0.03744804486632347)","('had', 0.9856716990470886)","('on', 1.371813178062439)","('glasses', 2.9428703784942627)","('that', 6.622370719909668)","('made', 0.0014157997211441398)","('her', 0.001671347301453352)","('eyes', 2.31953763961792)","('look', 0.2744356691837311)","('even', 0.3239186704158783)","('more', 2.496446132659912)","('striking', 0.6653690934181213)","('The', 6.5920867919921875)","('last', 2.507385730743408)","('thing', 1.6393414735794067)","('I', 2.6672706604003906)","('noticed', 0.5233607292175293)","('were', 1.1067081689834595)","('her', 0.9655571579933167)","('clothes', 2.8659026622772217)","('She', 0.9653546214103699)","('was', 5.006526947021484)","('wearing', 0.9177775382995605)","('a', 2.8888514041900635)","('flowing', 3.246898889541626)","('white', 0.028052709996700287)","('dress', 0.16500096023082733)","('with', 0.23822782933712006)","('a', 3.4302051067352295)","('black', 0.39909371733665466)","('apron', 4.9633550345897675)","('and', 1.4796557426452637)","('a', 1.1540048122406006)","('red', 0.3821190297603607)","('headband', 5.803686052560806)",101
"('bustling', 15.996203899383545)","('marketplace', 4.540148735046387)","('can', 6.831510066986084)","('be', 1.2174406051635742)","('crowded', 6.93499755859375)","('noisy', 1.6645504236221313)","('and', 4.1012043952941895)","('chaotic', 0.5443001985549927)","('The', 0.4348278045654297)","('air', 3.127631664276123)","('is', 0.6808538436889648)","('filled', 2.791478157043457)","('with', 6.1660966873168945)","('the', 0.8095219135284424)","('smell', 2.126619338989258)","('of', 0.012530408799648285)","('foods', 2.4214749336242676)","('like', 1.8763316869735718)","('spicy', 0.055031247437000275)","('noodles', 8.688766479492188)","('and', 6.082235336303711)","('honeyroasted', 11.239175975322723)","('peanuts', 9.55241584777832)","('There', 2.5072457790374756)","('is', 0.036024317145347595)","('constant', 3.326988697052002)","('movement', 0.045482102781534195)","('as', 0.6955240368843079)","('shoppers', 3.33591890335083)","('bump', 1.355446457862854)","('into', 6.299355506896973)","('each', 2.1074697971343994)","('other', 3.47450590133667)","('and', 3.175137519836426)","('stalls', 7.98828125)","('offer', 0.5753331780433655)","('their', 0.43787452578544617)","('wares', 1.5456054704263806)","('Street', 7.9527788162231445)","('vendors', 4.546473026275635)","('hawk', 4.13710355758667)","('their', 3.2066785934148356e-05)","('goods', 0.48157942295074463)","('and', 5.926697254180908)","('people', 0.47988665103912354)","('laugh', 7.685441017150879)","('and', 0.07592187821865082)","('talk', 1.0489610433578491)","('in', 3.4016828536987305)","('a', 1.362539291381836)","('variety', 1.6440904140472412)","('of', 3.242985248565674)","('languages', 6.923266410827637)","('and', 0.7528836131095886)","('accents', 5.723720073699951)","('The', 2.6440939903259277)","('cacophony', 7.83499571098946)","('of', 4.136244297027588)","('sounds', 0.060206152498722076)","('includes', 0.21293498575687408)","('the', 2.4932994842529297)","('ringing', 7.143956661224365)","('of', 0.13060465455055237)","('bells', 0.01351257599890232)","('the', 0.07360811531543732)","('rumbling', 3.506304383277893)","('of', 9.47067642211914)","('a', 1.5206060409545898)","('passing', 4.669253349304199)","('bus', 0.04682941734790802)","('and', 2.788421154022217)","('the', 0.4023893177509308)","('sounds', 0.8784375190734863)","('of', 4.833535194396973)","('people', 0.6729465126991272)","('haggling', 9.451872374862432)","('over', 2.6358561515808105)","('prices', 0.06999825686216354)","('Vendors', 5.130572080612183)","('shout', 0.04248271510004997)","('out', 2.9662742614746094)","('the', 6.669078826904297)","('names', 1.065341830253601)","('of', 0.001010741456411779)","('their', 0.9801799058914185)","('products', 0.8778948187828064)","('and', 0.3941047787666321)","('children', 6.970248222351074)","('run', 0.06336575746536255)","('around', 0.0005666795768775046)","('with', 5.281254768371582)","('toys', 1.8810229301452637)","('or', 2.7370920181274414)","('sweet', 1.342654824256897)","('treats', 0.04913735389709473)",,,,,,,95
"('was', 2.1570842266082764)","('a', 1.8309252262115479)","('strange', 5.0752410888671875)","('and', 3.650589942932129)","('unsettling', 4.5393634755164385)","('feeling', 2.4768121242523193)","('waking', 1.6712868213653564)","('up', 6.840302467346191)","('and', 0.3347199261188507)","('realizing', 2.580605983734131)","('that', 2.4165120124816895)","('the', 0.756750226020813)","('world', 2.5706186294555664)","('around', 2.239825487136841)","('you', 2.958026885986328)","('had', 2.7124719619750977)","('changed', 2.067133903503418)","('overnight', 1.416482925415039)","('But', 6.092032432556152)","('that', 0.4862053692340851)","('was', 4.102872848510742)","('exactly', 2.934908866882324)","('what', 1.439916968345642)","('happened', 4.383126735687256)","('to', 0.6883664131164551)","('Sarah', 2.0346665382385254)","('when', 1.6269116401672363)","('she', 7.706266403198242)","('opened', 2.411750316619873)","('her', 0.31577473878860474)","('eyes', 4.347227096557617)","('on', 0.4939510226249695)","('that', 0.1846376359462738)","('fateful', 7.525397777557373)","('morning', 4.806110382080078)","('As', 0.002707983832806349)","('she', 1.189622402191162)","('rubbed', 0.5885530114173889)","('her', 4.70700740814209)","('tired', 1.0152404308319092)","('eyes', 5.85599946975708)","('and', 0.26493868231773376)","('sat', 5.43988561630249)","('up', 0.14011617004871368)","('in', 1.4450782537460327)","('bed', 2.7570574283599854)","('she', 0.04912373423576355)","('couldnt', 2.5288499891757965)","('help', 0.27429404854774475)","('but', 0.4990959167480469)","('feel', 3.4588842391967773)","('a', 0.2020554095506668)","('sense', 0.5783514380455017)","('of', 0.32176244258880615)","('confusion', 2.3428664207458496)","('and', 1.3225665092468262)","('wonder', 2.354832887649536)","('when', 0.009309099987149239)","('she', 5.9857659339904785)","('realized', 1.03706693649292)","('that', 3.916480302810669)","('she', 5.48832893371582)","('had', 0.2934669554233551)","('the', 1.2012256383895874)","('ability', 0.7272467613220215)","('to', 1.0363337993621826)","('travel', 1.2626558542251587)","('through', 5.385825157165527)","('time', 3.5919759273529053)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
"('based', 0.47236359119415283)","('on', 9.51329231262207)","('my', 0.057006802409887314)","('personal', 2.4755327701568604)","('experience', 4.180203437805176)","('and', 0.6650496125221252)","('scientific', 2.4641294479370117)","('research', 8.1001558303833)","('I', 1.8293198347091675)","('believe', 0.2890124022960663)","('that', 1.1406394243240356)","('hand', 2.098015546798706)","('dryers', 10.363431215286255)","('are', 6.308700084686279)","('a', 0.09065041691064835)","('more', 1.078201413154602)","('hygienic', 12.840769414789975)","('option', 0.11927114427089691)","('compared', 0.010395663790404797)","('to', 3.021773338317871)","('paper', 5.1864800453186035)","('towels', 0.06682388484477997)","('They', 6.42586088180542)","('help', 0.5489165186882019)","('reduce', 0.9006969928741455)","('the', 3.2417709827423096)","('amount', 4.92420768737793)","('of', 3.340963840484619)","('waste', 0.7074966430664062)","('generated', 1.7460986375808716)","('in', 0.019641311839222908)","('restrooms', 6.391361236572266)","('and', 2.457549571990967)","('are', 10.19849967956543)","('costeffective', 1.7312088906764984)","('for', 2.33518648147583)","('businesses', 6.247950553894043)","('However', 0.9667640328407288)","('some', 0.13775646686553955)","('studies', 2.7020926475524902)","('have', 5.272561073303223)","('shown', 1.1783974170684814)","('that', 4.116422176361084)","('hand', 0.03120170161128044)","('dryers', 8.431982040405273)","('can', 0.5565493702888489)","('spread', 0.7267810702323914)","('bacteria', 0.14465028047561646)","('and', 1.873369574546814)","('viruses', 0.06442781537771225)","('if', 0.00902655441313982)","('they', 1.4963748455047607)","('are', 6.675854206085205)","('not', 1.3211166858673096)","('properly', 0.9582637548446655)","('maintained', 2.1459286212921143)","('and', 5.081674575805664)","('cleaned', 1.3073580265045166)","('Therefore', 0.4103376865386963)","('it', 0.7380969524383545)","('is', 1.4669263362884521)","('important', 2.309734582901001)","('to', 1.55376136302948)","('use', 0.6769214272499084)","('highquality', 4.074600100517273)","('hand', 0.03818921372294426)","('dryers', 1.888275682926178)","('and', 0.9439225792884827)","('ensure', 0.47918254137039185)","('that', 3.1178336143493652)","('they', 5.157839775085449)","('are', 0.3161935806274414)","('regularly', 0.09888819605112076)","('cleaned', 0.7683956027030945)","('and', 0.06918486207723618)","('maintained', 0.089195616543293)","('to', 2.4648289680480957)","('prevent', 3.164841413497925)","('any', 0.5259023308753967)","('potential', 0.49449166655540466)","('health', 0.16083957254886627)","('risks', 3.2091622352600098)",,,,,,,,,,,,,,,,,,,,82
"('I', 0.4723716974258423)","('must', 1.8511782884597778)","('say', 5.9078192710876465)","('I', 1.5403521060943604)","('find', 1.2318854331970215)","('hand', 1.5003726482391357)","('dryers', 17.83780860900879)","('to', 7.7649431228637695)","('be', 0.24751633405685425)","('a', 2.263787031173706)","('rather', 0.04944884404540062)","('unsanitary', 11.041555523872375)","('and', 2.5143558979034424)","('inefficient', 0.02269730530679226)","('method', 2.760650634765625)","('of', 4.763762474060059)","('drying', 1.7433452606201172)","('ones', 2.452503591775894)","('hands', 4.582396507263184)","('The', 0.16383202373981476)","('highspeed', 1.3278214633464813)","('jets', 3.4075775146484375)","('of', 7.449557781219482)","('air', 2.616788625717163)","('can', 3.6749725341796875)","('spread', 6.4587907791137695)","('bacteria', 1.2485158443450928)","('and', 2.0624122619628906)","('other', 3.7023768424987793)","('microorganisms', 6.54465389251709)","('potentially', 3.659625291824341)","('making', 1.1021966934204102)","('the', 1.5482534170150757)","('situation', 3.32831072807312)","('worse', 2.9561500549316406)","('than', 7.00026798248291)","('it', 2.9423842430114746)","('was', 1.9741116762161255)","('before', 5.993623733520508)","('Furthermore', 0.4012087881565094)","('the', 3.039327383041382)","('noise', 0.15855222940444946)","('pollution', 2.9105443954467773)","('caused', 2.28098201751709)","('by', 0.5755037665367126)","('these', 5.438743591308594)","('machines', 0.01766226626932621)","('can', 1.5845305919647217)","('be', 7.445193290710449)","('quite', 5.372100353240967)","('irritating', 2.440453067421913)","('especially', 2.231228828430176)","('when', 2.8570570945739746)","('used', 0.9397472143173218)","('in', 0.9729362726211548)","('public', 1.318872094154358)","('restrooms', 4.190531863481738)","('In', 1.7210466861724854)","('my', 1.7141029834747314)","('opinion', 1.4980546236038208)","('paper', 2.983804225921631)","('towels', 1.1656147241592407)","('or', 3.1124203205108643)","('electric', 4.064114570617676)","('dryers', 0.6337924376130104)","('are', 3.695633888244629)","('more', 2.5477821826934814)","('hygienic', 11.00037695467472)","('and', 3.5054898262023926)","('convenient', 9.476771354675293)","('options', 2.1030311584472656)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
"('based', 0.4723716974258423)","('on', 9.51331615447998)","('my', 0.057009391486644745)","('personal', 2.4755282402038574)","('experience', 4.18022346496582)","('and', 0.6650500297546387)","('scientific', 2.464150905609131)","('research', 8.1001615524292)","('I', 1.8293445110321045)","('believe', 0.2890177369117737)","('that', 1.1406104564666748)","('hand', 2.0980119705200195)","('dryers', 10.363435208797455)","('are', 6.308664798736572)","('a', 0.09065280854701996)","('more', 1.0781883001327515)","('hygienic', 12.840802647173405)","('option', 0.1192743182182312)","('compared', 0.010394719429314137)","('to', 3.021786689758301)","('paper', 5.186395645141602)","('towels', 0.06682555377483368)","('They', 6.425817489624023)","('help', 0.548941433429718)","('reduce', 0.900698184967041)","('the', 3.241767406463623)","('amount', 4.924177169799805)","('of', 3.3409600257873535)","('waste', 0.7075026631355286)","('generated', 1.7460567951202393)","('in', 0.019641079008579254)","('restrooms', 6.391343832015991)","('and', 2.4575417041778564)","('are', 10.198413848876953)","('costeffective', 1.7312087714672089)","('for', 2.3351688385009766)","('businesses', 6.247968673706055)","('However', 0.9667239189147949)","('some', 0.13775646686553955)","('studies', 2.7020058631896973)","('have', 5.272655487060547)","('shown', 1.1784098148345947)","('that', 4.116450786590576)","('hand', 0.031202858313918114)","('dryers', 8.431982517242432)","('can', 0.5565524697303772)","('spread', 0.726757824420929)","('bacteria', 0.14465709030628204)","('and', 1.8734465837478638)","('viruses', 0.06443753838539124)","('if', 0.00902549084275961)","('they', 1.4963728189468384)","('are', 6.675928115844727)","('not', 1.3211394548416138)","('properly', 0.9582674503326416)","('maintained', 2.1458818912506104)","('and', 5.081767559051514)","('cleaned', 1.307369589805603)","('Therefore', 0.4103534519672394)","('it', 0.7381078004837036)","('is', 1.4669477939605713)","('important', 2.3097410202026367)","('to', 1.553756833076477)","('use', 0.6769144535064697)","('highquality', 4.074642896652222)","('hand', 0.03818783536553383)","('dryers', 1.8883216381072998)","('and', 0.9439127445220947)","('ensure', 0.47920334339141846)","('that', 3.1178455352783203)","('they', 5.1578369140625)","('are', 0.31617775559425354)","('regularly', 0.09888182580471039)","('cleaned', 0.7684506773948669)","('and', 0.06919275969266891)","('maintained', 0.0891999751329422)","('to', 2.4648141860961914)","('prevent', 3.164870262145996)","('any', 0.5259112119674683)","('potential', 0.4944683313369751)","('health', 0.16083957254886627)","('risks', 3.2091877460479736)",,,,,,,,,,,,,,,,,,,,82
"('appreciate', 7.9096221923828125)","('the', 1.5810818672180176)","('offer', 5.373434066772461)","('but', 1.2530471086502075)","('I', 0.400979220867157)","('would', 0.9685208797454834)","('prefer', 3.3737986087799072)","('to', 1.5992860794067383)","('drive', 0.5831087827682495)","('or', 7.148833274841309)","('take', 5.314684867858887)","('a', 2.582778215408325)","('cab', 1.3449995517730713)","('instead', 2.2595887184143066)","('of', 2.5492358207702637)","('the', 1.105622410774231)","('bus', 2.8801050186157227)","('Buses', 3.084793269634247)","('can', 7.889703273773193)","('be', 0.2478674203157425)","('crowded', 3.3419618606567383)","('and', 1.040985107421875)","('unpredictable', 4.299068450927734)","('and', 1.3256336450576782)","('I', 6.995925426483154)","('prefer', 1.2366925477981567)","('to', 0.9548938274383545)","('have', 1.3222532272338867)","('more', 4.029167175292969)","('control', 0.7209955453872681)","('over', 3.737839698791504)","('my', 4.1918511390686035)","('transportation', 1.0566773414611816)","('Thank', 1.0965912342071533)","('you', 0.8097257614135742)","('for', 2.7942004203796387)","('the', 0.6314272284507751)","('invitation', 4.082122325897217)","('though', 0.012379356659948826)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
"('I', 0.4723716974258423)","('must', 1.8511782884597778)","('say', 5.9078192710876465)","('I', 1.5403521060943604)","('find', 1.2318854331970215)","('hand', 1.5003726482391357)","('dryers', 17.83780860900879)","('to', 7.7649431228637695)","('be', 0.24751633405685425)","('a', 2.263787031173706)","('rather', 0.04944884404540062)","('unsanitary', 11.041555523872375)","('and', 2.5143558979034424)","('inefficient', 0.02269730530679226)","('method', 2.760650634765625)","('of', 4.763762474060059)","('drying', 1.7433452606201172)","('ones', 2.452503591775894)","('hands', 4.582396507263184)","('The', 0.16383202373981476)","('highspeed', 1.3278214633464813)","('jets', 3.4075775146484375)","('of', 7.449557781219482)","('air', 2.616788625717163)","('can', 3.6749725341796875)","('spread', 6.4587907791137695)","('bacteria', 1.2485158443450928)","('and', 2.0624122619628906)","('other', 3.7023768424987793)","('microorganisms', 6.54465389251709)","('potentially', 3.659625291824341)","('making', 1.1021966934204102)","('the', 1.5482534170150757)","('situation', 3.32831072807312)","('worse', 2.9561500549316406)","('than', 7.00026798248291)","('it', 2.9423842430114746)","('was', 1.9741116762161255)","('before', 5.993623733520508)","('Furthermore', 0.4012087881565094)","('the', 3.039327383041382)","('noise', 0.15855222940444946)","('pollution', 2.9105443954467773)","('caused', 2.28098201751709)","('by', 0.5755037665367126)","('these', 5.438743591308594)","('machines', 0.01766226626932621)","('can', 1.5845305919647217)","('be', 7.445193290710449)","('quite', 5.372100353240967)","('irritating', 2.440453067421913)","('especially', 2.231228828430176)","('when', 2.8570570945739746)","('used', 0.9397472143173218)","('in', 0.9729362726211548)","('public', 1.318872094154358)","('restrooms', 4.190531863481738)","('In', 1.7210466861724854)","('my', 1.7141029834747314)","('opinion', 1.4980546236038208)","('paper', 2.983804225921631)","('towels', 1.1656147241592407)","('or', 3.1124203205108643)","('electric', 4.064114570617676)","('dryers', 0.6337924376130104)","('are', 3.695633888244629)","('more', 2.5477821826934814)","('hygienic', 11.00037695467472)","('and', 3.5054898262023926)","('convenient', 9.476771354675293)","('options', 2.1030311584472656)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
"('Sheldon', 15.732728406786919)","('I', 2.513239860534668)","('must', 2.6910319328308105)","('decline', 5.377306938171387)","('your', 6.877413749694824)","('offer', 1.8766560554504395)","('to', 0.8096702694892883)","('take', 1.4395208358764648)","('the', 3.527629852294922)","('bus', 1.97704017162323)","('I', 6.313116073608398)","('find', 1.8762997388839722)","('public', 1.2857487201690674)","('transportation', 5.645901679992676)","('to', 7.595034599304199)","('be', 0.3484881520271301)","('unsavory', 7.254345748573542)","('and', 6.20176887512207)","('I', 2.024226427078247)","('prefer', 0.00855767261236906)","('to', 2.4891045093536377)","('travel', 1.520706057548523)","('in', 1.0104165077209473)","('my', 3.3960187435150146)","('own', 0.6573991775512695)","('vehicle', 2.6099088191986084)","('Thank', 2.825331211090088)","('you', 1.3794727325439453)","('for', 0.3614145815372467)","('the', 1.2891149520874023)","('invitation', 0.8113726377487183)","('but', 4.118216514587402)","('I', 0.017875289544463158)","('will', 0.9645324349403381)","('pass', 1.7369048595428467)","('on', 4.045557498931885)","('the', 1.135729193687439)","('bus', 0.9826955199241638)","('ride', 0.4694756865501404)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
"('Sheldon', 15.732728406786919)","('I', 2.513239860534668)","('am', 2.6910319328308105)","('a', 3.0122480392456055)","('staunch', 10.14916729927063)","('proponent', 4.05371555313468)","('of', 0.0028704889118671417)","('hand', 0.07477948814630508)","('dryers', 16.830419540405273)","('Firstly', 0.1907891482114792)","('they', 1.0947740077972412)","('are', 10.058320045471191)","('much', 0.18406282365322113)","('more', 1.542978048324585)","('efficient', 1.0986030101776123)","('than', 3.9342379570007324)","('paper', 1.1077799797058105)","('towels', 1.75709867477417)","('as', 1.0054634809494019)","('they', 5.327239990234375)","('dry', 0.3194667100906372)","('hands', 1.4575191736221313)","('quickly', 3.670032262802124)","('and', 0.5500544309616089)","('hygienically', 12.156047582626343)","('Secondly', 9.958389282226562)","('they', 0.0069006457924842834)","('are', 0.01626366749405861)","('environmentally', 0.024209586903452873)","('friendly', 0.5102030634880066)","('as', 0.6586808562278748)","('they', 0.01663469336926937)","('reduce', 0.6549334526062012)","('the', 1.170701265335083)","('need', 3.1117453575134277)","('to', 0.19378428161144257)","('use', 0.9400730729103088)","('paper', 1.575528621673584)","('towels', 0.5137746930122375)","('Finally', 4.611118316650391)","('they', 0.8762684464454651)","('are', 1.9885985851287842)","('costeffective', 4.122912049293518)","('as', 2.9177916049957275)","('they', 0.17502917349338531)","('eliminate', 1.1503593921661377)","('the', 2.9675300121307373)","('need', 0.02504306100308895)","('to', 0.5294310450553894)","('continually', 0.9244059920310974)","('purchase', 4.308624267578125)","('paper', 1.2885507345199585)","('towels', 0.10230795294046402)","('In', 0.9215046167373657)","('short', 0.5294881463050842)","('hand', 0.5907604098320007)","('dryers', 5.238263547420502)","('are', 0.527410089969635)","('a', 0.8140233159065247)","('superior', 7.278097152709961)","('option', 2.458395004272461)","('to', 2.050050735473633)","('paper', 0.060505013912916183)","('towels', 0.7960675954818726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
