"('first', 5.273767948150635)","('thing', 2.7867002487182617)","('I', 1.9034377336502075)","('noticed', 1.8694977760314941)","('about', 1.752915859222412)","('her', 4.708522319793701)","('was', 0.5204281806945801)","('her', 0.8061292767524719)","('hair', 2.4355227947235107)","('It', 0.4595860242843628)","('was', 0.7005875110626221)","('long', 0.23380155861377716)","('silky', 2.28301739692688)","('and', 0.997963547706604)","('black', 4.85979700088501)","('She', 0.5526410341262817)","('had', 0.38175591826438904)","('a', 2.394399881362915)","('mane', 1.3292081356048584)","('of', 1.904344081878662)","('wild', 1.1155471801757812)","('curls', 1.6718287467956543)","('and', 4.9261250495910645)","('her', 0.3200809359550476)","('hair', 5.699623107910156)","('cascaded', 3.123469114303589)","('down', 1.2572591304779053)","('her', 1.9822903871536255)","('back', 1.4397261142730713)","('in', 3.6013588905334473)","('waves', 0.003240217687562108)","('It', 0.5475599765777588)","('was', 0.40594542026519775)","('so', 0.20025724172592163)","('long', 1.4501967430114746)","('that', 1.9965859651565552)","('her', 0.4165298640727997)","('face', 1.7455201148986816)","('was', 0.2098296582698822)","('barely', 1.8621574640274048)","('visible', 2.237574338912964)","('behind', 0.4846847653388977)","('the', 4.777490615844727)","('curtain', 4.107287883758545)","('of', 0.3621615171432495)","('hair', 3.3929765224456787)","('The', 0.046773336827754974)","('next', 2.591818332672119)","('thing', 1.8907485008239746)","('I', 0.9160734415054321)","('noticed', 0.0801086574792862)","('was', 1.2275248765945435)","('her', 0.5944805145263672)","('eyes', 2.3093559741973877)","('They', 1.8337448835372925)","('were', 0.016886498779058456)","('the', 0.10570747405290604)","('most', 0.016277743503451347)","('unusual', 0.1955973356962204)","('shade', 0.030075524002313614)","('of', 0.34398695826530457)","('blue', 0.021734852343797684)","('almost', 0.10301130264997482)","('turquoise', 0.002488137688487768)","('in', 1.7955727577209473)","('color', 0.8473665118217468)","('She', 3.2312960624694824)","('had', 1.1064891815185547)","('on', 0.005453945603221655)","('glasses', 0.92369145154953)","('that', 2.308774948120117)","('made', 0.5649971961975098)","('her', 2.502729892730713)","('eyes', 1.7766700983047485)","('look', 0.04599330946803093)","('even', 0.10532064735889435)","('more', 1.3650888204574585)","('striking', 0.13614261150360107)","('The', 6.344449520111084)","('last', 5.296917915344238)","('thing', 1.830635666847229)","('I', 1.301607370376587)","('noticed', 0.19438377022743225)","('were', 0.5113806128501892)","('her', 0.7177882194519043)","('clothes', 0.20478296279907227)","('She', 1.3198282718658447)","('was', 0.6893678307533264)","('wearing', 0.36213138699531555)","('a', 2.123455047607422)","('flowing', 1.2003653049468994)","('white', 0.007288414519280195)","('dress', 0.0668388232588768)","('with', 0.020242534577846527)","('a', 3.5483579635620117)","('black', 0.012916001491248608)","('apron', 1.6355093717575073)","('and', 0.02901361882686615)","('a', 0.11527395248413086)","('red', 0.26256510615348816)","('headband', 4.020254999399185)"
"('bustling', 13.999234199523926)","('marketplace', 4.20084810256958)","('can', 5.255571365356445)","('be', 0.5663489699363708)","('crowded', 7.116532802581787)","('noisy', 1.3072696924209595)","('and', 1.902486801147461)","('chaotic', 0.4109151065349579)","('The', 0.11537253111600876)","('air', 1.5056445598602295)","('is', 0.7610090970993042)","('filled', 2.773301601409912)","('with', 3.941222906112671)","('the', 0.3333694040775299)","('smell', 0.4948848485946655)","('of', 0.001320562674663961)","('foods', 0.07915730774402618)","('like', 2.02390718460083)","('spicy', 0.0031811606604605913)","('noodles', 6.877695083618164)","('and', 4.698963165283203)","('honeyroasted', 8.90770411491394)","('peanuts', 8.487283706665039)","('There', 1.7993676662445068)","('is', 0.010746464133262634)","('constant', 0.9925355911254883)","('movement', 0.7334311008453369)","('as', 2.5078611373901367)","('shoppers', 2.346128225326538)","('bump', 4.088261127471924)","('into', 1.1771575212478638)","('each', 0.913842499256134)","('other', 2.4133663177490234)","('and', 7.906856060028076)","('stalls', 0.059900913387537)","('offer', 0.25040823221206665)","('their', 0.0017463208641856909)","('wares', 7.121493935585022)","('Street', 4.887864112854004)","('vendors', 0.8394895195960999)","('hawk', 0.2327508181333542)","('their', 1.3232143828645349e-05)","('goods', 0.5331012010574341)","('and', 5.452702522277832)","('people', 0.6613883376121521)","('laugh', 2.354285717010498)","('and', 0.8001344203948975)","('talk', 0.24003471434116364)","('in', 1.0873380899429321)","('a', 2.098388671875)","('variety', 3.0783066749572754)","('of', 5.375701427459717)","('languages', 0.13994009792804718)","('and', 1.3187209367752075)","('accents', 2.283888578414917)","('The', 1.6873189210891724)","('cacophony', 1.1535006795311347)","('of', 5.509805679321289)","('sounds', 1.0355595350265503)","('includes', 0.29215291142463684)","('the', 1.0462861061096191)","('ringing', 4.496947288513184)","('of', 0.020855886861681938)","('bells', 0.0012998473830521107)","('the', 0.12032019346952438)","('rumbling', 2.8573079705238342)","('of', 1.2229652404785156)","('a', 2.4510114192962646)","('passing', 0.0684031993150711)","('bus', 0.6689996719360352)","('and', 0.5600042343139648)","('the', 0.5322567224502563)","('sounds', 4.778430938720703)","('of', 0.7320681214332581)","('people', 0.027493396773934364)","('haggling', 9.353301167488098)","('over', 0.05223873630166054)","('prices', 0.1590258777141571)","('Vendors', 4.74886878579855)","('shout', 0.013545035384595394)","('out', 1.7272834777832031)","('the', 1.4495879411697388)","('names', 0.010205349884927273)","('of', 7.021180499577895e-05)","('their', 0.15442179143428802)","('products', 0.048455823212862015)","('and', 0.3583308458328247)","('children', 7.3956298828125)","('run', 0.012633060105144978)","('around', 0.9414016008377075)","('with', 0.3878575563430786)","('toys', 2.7931039333343506)","('or', 0.6805288195610046)","('sweet', 0.04270753636956215)","('treats', 0.05157346650958061)",,,,,,
"('was', 2.1515583992004395)","('a', 1.8047654628753662)","('strange', 5.1027445793151855)","('and', 3.0154948234558105)","('unsettling', 3.933537006378174)","('feeling', 1.567731499671936)","('waking', 1.352840542793274)","('up', 5.793609619140625)","('and', 0.2882624566555023)","('realizing', 2.705732822418213)","('that', 2.329923391342163)","('the', 0.6877374053001404)","('world', 2.158953905105591)","('around', 2.056103229522705)","('you', 2.8256168365478516)","('had', 1.0253956317901611)","('changed', 0.878014326095581)","('overnight', 0.6596983671188354)","('But', 3.338839530944824)","('that', 0.463914692401886)","('was', 3.106588363647461)","('exactly', 2.314455986022949)","('what', 0.6411436796188354)","('happened', 1.6974661350250244)","('to', 0.10606390982866287)","('Sarah', 0.8631378412246704)","('when', 1.5298235416412354)","('she', 5.94174861907959)","('opened', 2.1046602725982666)","('her', 0.05029885098338127)","('eyes', 1.3326568603515625)","('on', 0.0034508698154240847)","('that', 0.003979858942329884)","('fateful', 4.411373138427734)","('morning', 0.5298880338668823)","('As', 0.0007940953364595771)","('she', 0.32459384202957153)","('rubbed', 0.569472074508667)","('her', 3.1441123485565186)","('tired', 0.18563449382781982)","('eyes', 4.283145904541016)","('and', 2.5439696311950684)","('sat', 3.070531129837036)","('up', 0.02072710543870926)","('in', 0.4452131390571594)","('bed', 2.2264227867126465)","('she', 0.015085185877978802)","('couldnt', 0.44744257628917694)","('help', 0.002399543533101678)","('but', 0.31512612104415894)","('feel', 1.3863074779510498)","('a', 1.2402000427246094)","('sense', 0.5092359781265259)","('of', 0.0025301130954176188)","('confusion', 0.7064288854598999)","('and', 0.2996926009654999)","('wonder', 0.31449073553085327)","('when', 6.246371776796877e-05)","('she', 4.086178779602051)","('realized', 0.1172960102558136)","('that', 5.209331512451172)","('she', 8.769668579101562)","('had', 0.02910614013671875)","('the', 1.7152575254440308)","('ability', 0.14234139025211334)","('to', 1.7008726596832275)","('travel', 1.5822210311889648)","('through', 4.852394104003906)","('time', 0.8490350842475891)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('based', 0.8436960577964783)","('on', 8.460864067077637)","('my', 0.053774476051330566)","('personal', 2.4258880615234375)","('experience', 3.4914703369140625)","('and', 0.4508552849292755)","('scientific', 2.3011722564697266)","('research', 6.25192928314209)","('I', 0.8420627117156982)","('believe', 0.20777159929275513)","('that', 1.087865948677063)","('hand', 1.4163888692855835)","('dryers', 8.833803117275238)","('are', 3.9450275897979736)","('a', 0.00031156453769654036)","('more', 0.7796697616577148)","('hygienic', 5.128803014755249)","('option', 0.0017375147435814142)","('compared', 0.00011634149996098131)","('to', 0.21391694247722626)","('paper', 1.1763029098510742)","('towels', 0.0006420934805646539)","('They', 0.10858698189258575)","('help', 0.018439773470163345)","('reduce', 0.4798247516155243)","('the', 3.3608813285827637)","('amount', 4.574368476867676)","('of', 1.1771702766418457)","('waste', 0.10010293871164322)","('generated', 4.648148059844971)","('in', 0.0005206898204050958)","('restrooms', 4.57161808013916)","('and', 2.531736373901367)","('are', 2.033754348754883)","('costeffective', 0.884698866353574)","('for', 1.7472031116485596)","('businesses', 4.254452228546143)","('However', 0.0305270254611969)","('some', 3.723851203918457)","('studies', 0.38276734948158264)","('have', 0.9393983483314514)","('shown', 0.7715383172035217)","('that', 0.0013235389487817883)","('hand', 3.7907278537750244)","('dryers', 4.493363320827484)","('can', 0.9226102828979492)","('spread', 0.043718378990888596)","('bacteria', 0.921495795249939)","('and', 0.006545414216816425)","('viruses', 1.5497195136049413e-06)","('if', 0.40723395347595215)","('they', 0.8070588707923889)","('are', 0.4476318657398224)","('not', 0.9012809991836548)","('properly', 0.5373737812042236)","('maintained', 1.8448878526687622)","('and', 1.763792872428894)","('cleaned', 0.20519910752773285)","('Therefore', 0.0365145206451416)","('it', 0.5168597102165222)","('is', 0.19695590436458588)","('important', 2.7778728008270264)","('to', 0.4049395024776459)","('use', 0.7374039888381958)","('highquality', 1.2039641691953875)","('hand', 0.23522551357746124)","('dryers', 0.719777524471283)","('and', 0.1635979413986206)","('ensure', 2.3591370582580566)","('that', 2.468628406524658)","('they', 0.029884636402130127)","('are', 0.19001244008541107)","('regularly', 0.002902820473536849)","('cleaned', 1.6689286894688848e-06)","('and', 0.34767189621925354)","('maintained', 1.5125210285186768)","('to', 1.2233902215957642)","('prevent', 0.04023309797048569)","('any', 0.005269684828817844)","('potential', 0.2999430000782013)","('health', 0.7885212302207947)","('risks', 0.09626580029726028)",,,,,,,,,,,,,,,,,,,
"('I', 0.8436910510063171)","('must', 1.917441964149475)","('say', 5.3598313331604)","('I', 1.1474953889846802)","('find', 1.3668094873428345)","('hand', 1.2638682126998901)","('dryers', 15.721952438354492)","('to', 5.532275199890137)","('be', 0.0006434039096347988)","('a', 1.7185908555984497)","('rather', 0.027670592069625854)","('unsanitary', 9.676178455352783)","('and', 1.3156611919403076)","('inefficient', 0.0030960743315517902)","('method', 2.89644455909729)","('of', 2.611485004425049)","('drying', 1.5266621112823486)","('ones', 0.5533537566661835)","('hands', 1.2218064069747925)","('The', 0.9067021608352661)","('highspeed', 0.5280211716890335)","('jets', 2.5943617820739746)","('of', 4.402666091918945)","('air', 1.1107244491577148)","('can', 4.925103187561035)","('spread', 0.08444967120885849)","('bacteria', 0.43222323060035706)","('and', 2.1988377571105957)","('other', 5.132176876068115)","('microorganisms', 2.5510092973709106)","('potentially', 2.974111318588257)","('making', 2.829741954803467)","('the', 0.008538288064301014)","('situation', 1.0094209909439087)","('worse', 3.226269483566284)","('than', 2.1384754180908203)","('it', 1.6263376474380493)","('was', 1.5095057487487793)","('before', 0.18243852257728577)","('Furthermore', 1.0017518997192383)","('the', 1.4779694080352783)","('noise', 0.0842762291431427)","('pollution', 0.24555739760398865)","('caused', 0.26339420676231384)","('by', 2.8956570625305176)","('these', 0.0016462358180433512)","('machines', 1.0271353721618652)","('can', 1.3616385459899902)","('be', 5.483861446380615)","('quite', 1.708123803138733)","('irritating', 0.0008137490367516875)","('especially', 0.28685545921325684)","('when', 0.8686492443084717)","('used', 0.2158539593219757)","('in', 0.038443680852651596)","('public', 0.3492915630340576)","('restrooms', 3.2514647245407104)","('In', 0.3143383264541626)","('my', 3.027679920196533)","('opinion', 2.365169048309326)","('paper', 0.05160550773143768)","('towels', 0.7841305732727051)","('or', 0.4903077781200409)","('electric', 1.9073304429184645e-05)","('dryers', 2.8015613555908203)","('are', 0.3354778587818146)","('more', 0.11323342472314835)","('hygienic', 1.648960184189491)","('and', 2.5532960891723633)","('convenient', 4.440715789794922)","('options', 3.7412900924682617)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('based', 0.8436910510063171)","('on', 8.460857391357422)","('my', 0.053774476051330566)","('personal', 2.4258837699890137)","('experience', 3.491472005844116)","('and', 0.4508582353591919)","('scientific', 2.3011670112609863)","('research', 6.251929759979248)","('I', 0.8420634269714355)","('believe', 0.20776589214801788)","('that', 1.0878722667694092)","('hand', 1.4163860082626343)","('dryers', 8.833800554275513)","('are', 3.9450223445892334)","('a', 0.00031156453769654036)","('more', 0.7796790599822998)","('hygienic', 5.128790736198425)","('option', 0.0017375147435814142)","('compared', 0.00011634149996098131)","('to', 0.2139168530702591)","('paper', 1.1763052940368652)","('towels', 0.0006420934805646539)","('They', 0.10858719795942307)","('help', 0.018440006300807)","('reduce', 0.4798243045806885)","('the', 3.3608903884887695)","('amount', 4.574375629425049)","('of', 1.1771764755249023)","('waste', 0.1001044511795044)","('generated', 4.64816427230835)","('in', 0.0005206898204050958)","('restrooms', 4.571622610092163)","('and', 2.5317370891571045)","('are', 2.0337324142456055)","('costeffective', 0.8847030386787083)","('for', 1.7472102642059326)","('businesses', 4.25445556640625)","('However', 0.030526794493198395)","('some', 3.72385311126709)","('studies', 0.38276174664497375)","('have', 0.9394076466560364)","('shown', 0.7715389728546143)","('that', 0.0013235389487817883)","('hand', 3.7907304763793945)","('dryers', 4.493366181850433)","('can', 0.9225969314575195)","('spread', 0.04371940344572067)","('bacteria', 0.9214975833892822)","('and', 0.0065455324947834015)","('viruses', 1.5497195136049413e-06)","('if', 0.40723609924316406)","('they', 0.8070565462112427)","('are', 0.44763028621673584)","('not', 0.9012828469276428)","('properly', 0.5373767614364624)","('maintained', 1.8448872566223145)","('and', 1.7637866735458374)","('cleaned', 0.2051991969347)","('Therefore', 0.0365145206451416)","('it', 0.5168558359146118)","('is', 0.19695335626602173)","('important', 2.777881145477295)","('to', 0.4049367904663086)","('use', 0.7373971939086914)","('highquality', 1.203956897428725)","('hand', 0.23523041605949402)","('dryers', 0.7197884619235992)","('and', 0.1635960191488266)","('ensure', 2.3591270446777344)","('that', 2.468635082244873)","('they', 0.02988486923277378)","('are', 0.19001173973083496)","('regularly', 0.002902820473536849)","('cleaned', 1.6689286894688848e-06)","('and', 0.34766265749931335)","('maintained', 1.5125325918197632)","('to', 1.2233871221542358)","('prevent', 0.040232181549072266)","('any', 0.005269684828817844)","('potential', 0.29994097352027893)","('health', 0.7885144948959351)","('risks', 0.09626363962888718)",,,,,,,,,,,,,,,,,,,
"('appreciate', 9.549434661865234)","('the', 1.3999474048614502)","('offer', 5.501471042633057)","('but', 0.7213830351829529)","('I', 0.3722569942474365)","('would', 0.4929110109806061)","('prefer', 4.247321128845215)","('to', 1.4291226863861084)","('drive', 0.3915555477142334)","('or', 5.301651954650879)","('take', 6.8709492683410645)","('a', 0.8496816754341125)","('cab', 0.5327293872833252)","('instead', 1.036550521850586)","('of', 5.775689125061035)","('the', 2.0080361366271973)","('bus', 5.2861175537109375)","('Buses', 2.6263970136642456)","('can', 6.994945526123047)","('be', 0.20975784957408905)","('crowded', 1.8787599802017212)","('and', 0.23323751986026764)","('unpredictable', 2.122830867767334)","('and', 0.4418150782585144)","('I', 4.85042667388916)","('prefer', 0.7096540927886963)","('to', 0.6292909383773804)","('have', 0.3543737828731537)","('more', 2.076451063156128)","('control', 0.49014103412628174)","('over', 0.06521794945001602)","('my', 0.30142149329185486)","('transportation', 0.0056845201179385185)","('Thank', 0.009065656922757626)","('you', 0.02512211538851261)","('for', 0.7010748982429504)","('the', 1.5859686136245728)","('invitation', 3.010817050933838)","('though', 0.0017326356610283256)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('I', 0.8436910510063171)","('must', 1.917441964149475)","('say', 5.3598313331604)","('I', 1.1474953889846802)","('find', 1.3668094873428345)","('hand', 1.2638682126998901)","('dryers', 15.721952438354492)","('to', 5.532275199890137)","('be', 0.0006434039096347988)","('a', 1.7185908555984497)","('rather', 0.027670592069625854)","('unsanitary', 9.676178455352783)","('and', 1.3156611919403076)","('inefficient', 0.0030960743315517902)","('method', 2.89644455909729)","('of', 2.611485004425049)","('drying', 1.5266621112823486)","('ones', 0.5533537566661835)","('hands', 1.2218064069747925)","('The', 0.9067021608352661)","('highspeed', 0.5280211716890335)","('jets', 2.5943617820739746)","('of', 4.402666091918945)","('air', 1.1107244491577148)","('can', 4.925103187561035)","('spread', 0.08444967120885849)","('bacteria', 0.43222323060035706)","('and', 2.1988377571105957)","('other', 5.132176876068115)","('microorganisms', 2.5510092973709106)","('potentially', 2.974111318588257)","('making', 2.829741954803467)","('the', 0.008538288064301014)","('situation', 1.0094209909439087)","('worse', 3.226269483566284)","('than', 2.1384754180908203)","('it', 1.6263376474380493)","('was', 1.5095057487487793)","('before', 0.18243852257728577)","('Furthermore', 1.0017518997192383)","('the', 1.4779694080352783)","('noise', 0.0842762291431427)","('pollution', 0.24555739760398865)","('caused', 0.26339420676231384)","('by', 2.8956570625305176)","('these', 0.0016462358180433512)","('machines', 1.0271353721618652)","('can', 1.3616385459899902)","('be', 5.483861446380615)","('quite', 1.708123803138733)","('irritating', 0.0008137490367516875)","('especially', 0.28685545921325684)","('when', 0.8686492443084717)","('used', 0.2158539593219757)","('in', 0.038443680852651596)","('public', 0.3492915630340576)","('restrooms', 3.2514647245407104)","('In', 0.3143383264541626)","('my', 3.027679920196533)","('opinion', 2.365169048309326)","('paper', 0.05160550773143768)","('towels', 0.7841305732727051)","('or', 0.4903077781200409)","('electric', 1.9073304429184645e-05)","('dryers', 2.8015613555908203)","('are', 0.3354778587818146)","('more', 0.11323342472314835)","('hygienic', 1.648960184189491)","('and', 2.5532960891723633)","('convenient', 4.440715789794922)","('options', 3.7412900924682617)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Sheldon', 15.23836898803711)","('I', 3.5673606395721436)","('must', 3.052870035171509)","('decline', 5.092672348022461)","('your', 7.040760517120361)","('offer', 1.3277184963226318)","('to', 1.4497441053390503)","('take', 2.1689090728759766)","('the', 3.3910720348358154)","('bus', 2.4541213512420654)","('I', 5.096381664276123)","('find', 1.4272657632827759)","('public', 0.8362805843353271)","('transportation', 5.179601669311523)","('to', 4.50544548034668)","('be', 0.4704420864582062)","('unsavory', 7.558210166171193)","('and', 2.654252529144287)","('I', 1.7658514976501465)","('prefer', 0.0012232924345880747)","('to', 2.531167984008789)","('travel', 1.362320065498352)","('in', 0.7890579104423523)","('my', 2.05090594291687)","('own', 0.41499611735343933)","('vehicle', 2.3431806564331055)","('Thank', 0.9092488288879395)","('you', 1.2510677576065063)","('for', 0.4393109083175659)","('the', 1.0048651695251465)","('invitation', 0.8822118043899536)","('but', 2.546257972717285)","('I', 0.004022127948701382)","('will', 0.3936079144477844)","('pass', 1.168267011642456)","('on', 1.780290126800537)","('the', 0.37918621301651)","('bus', 1.2959439754486084)","('ride', 0.20094549655914307)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Sheldon', 15.23836898803711)","('I', 3.5673606395721436)","('am', 3.052870035171509)","('a', 2.995610237121582)","('staunch', 2.673713207244873)","('proponent', 10.314639568328857)","('of', 0.061005234718322754)","('hand', 0.06749089807271957)","('dryers', 15.41427230834961)","('Firstly', 0.0007295330869965255)","('they', 1.175724983215332)","('are', 7.9405837059021)","('much', 0.13158336281776428)","('more', 0.7481805682182312)","('efficient', 0.714815080165863)","('than', 2.475958824157715)","('paper', 0.5037943124771118)","('towels', 1.9741934537887573)","('as', 0.6231087446212769)","('they', 0.22950288653373718)","('dry', 0.14702270925045013)","('hands', 1.4184502363204956)","('quickly', 2.511190891265869)","('and', 0.23788930475711823)","('hygienically', 6.685545861721039)","('Secondly', 0.06493076682090759)","('they', 3.2475316524505615)","('are', 0.05202215909957886)","('environmentally', 0.001279726973734796)","('friendly', 0.30770590901374817)","('as', 0.431571900844574)","('they', 0.0013429442187771201)","('reduce', 0.23738934099674225)","('the', 0.5023648738861084)","('need', 1.2383180856704712)","('to', 0.01635831408202648)","('use', 0.285518079996109)","('paper', 0.06976614147424698)","('towels', 0.02511979080736637)","('Finally', 1.3130890130996704)","('they', 0.45506852865219116)","('are', 0.738279402256012)","('costeffective', 6.843012034893036)","('as', 0.43657633662223816)","('they', 0.16897405683994293)","('eliminate', 1.4357044696807861)","('the', 1.4453749656677246)","('need', 0.001740013831295073)","('to', 0.13542315363883972)","('continually', 0.33148589730262756)","('purchase', 0.49632227420806885)","('paper', 0.12205156683921814)","('towels', 0.11283203959465027)","('In', 0.014299190603196621)","('short', 0.072252057492733)","('hand', 3.0619845390319824)","('dryers', 0.1330403182655573)","('are', 0.27418267726898193)","('a', 4.82707405090332)","('superior', 0.5017381906509399)","('option', 0.8717496991157532)","('to', 0.0175650492310524)","('paper', 0.7363268136978149)","('towels', 1.6422288417816162)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('dryers', 16.55540943145752)","('are', 1.5033258199691772)","('extremely', 5.538712501525879)","('unhygienic', 6.631300939654466)","('and', 1.685925841331482)","('inefficient', 5.700479030609131)","('They', 1.1250851154327393)","('blast', 1.6708508729934692)","('bacteria', 6.0652756690979)","('and', 6.796347618103027)","('pathogens', 1.405221700668335)","('all', 4.613526821136475)","('over', 2.618934392929077)","('ones', 7.608634054660797)","('hands', 1.525437355041504)","('and', 4.608055114746094)","('the', 0.9351125359535217)","('surrounding', 3.608689546585083)","('area', 2.877476930618286)","('Not', 0.8678809404373169)","('to', 0.838641345500946)","('mention', 4.378362655639648)","('they', 0.6249362230300903)","('are', 0.007400361355394125)","('terribly', 1.7367559671401978)","('loud', 1.5650529861450195)","('and', 4.519656181335449)","('damaging', 4.243808269500732)","('to', 0.548565685749054)","('the', 4.802933692932129)","('eardrums', 3.9145854148082435)","('Paper', 0.28219446539878845)","('towels', 0.0018462770385667682)","('are', 0.6809568405151367)","('clearly', 3.6754677295684814)","('the', 0.2064962238073349)","('superior', 0.5330513119697571)","('hand', 6.905678749084473)","('drying', 0.4701680541038513)","('method', 2.064441680908203)","('They', 3.873260974884033)","('are', 0.3157764673233032)","('more', 1.0334023237228394)","('sanitary', 1.2288036346435547)","('and', 2.3465335369110107)","('gentle', 0.5387758016586304)","('on', 2.76352596282959)","('the', 1.4986494779586792)","('hands', 1.3384249210357666)","('while', 5.207615375518799)","('also', 0.27192825078964233)","('being', 0.34748369455337524)","('quieter', 1.0742714405059814)","('and', 2.097935199737549)","('better', 2.859865427017212)","('for', 0.9550862312316895)","('the', 0.5111876130104065)","('environment', 2.2511682510375977)","('since', 0.4260038137435913)","('they', 3.605926513671875)","('can', 0.04418144375085831)","('be', 0.09920638054609299)","('recycled', 0.18497256934642792)","('Hand', 7.438481330871582)","('dryers', 2.3843273669481277)","('should', 0.04641685634851456)","('be', 0.4244520962238312)","('abolished', 0.8693360686302185)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
