nll-word-a-1,nll-word-a-2,nll-word-a-3,nll-word-a-4,nll-word-a-5,nll-word-a-6,nll-word-a-7,nll-word-a-8,nll-word-a-9,nll-word-a-10,nll-word-a-11,nll-word-a-12,nll-word-a-13,nll-word-a-14,nll-word-a-15,nll-word-a-16,nll-word-a-17,nll-word-a-18,nll-word-a-19,nll-word-a-20,nll-word-a-21,nll-word-a-22,nll-word-a-23,nll-word-a-24,nll-word-a-25,nll-word-a-26,nll-word-a-27,nll-word-a-28,nll-word-a-29,nll-word-a-30,nll-word-a-31,nll-word-a-32,nll-word-a-33,nll-word-a-34,nll-word-a-35,nll-word-a-36,nll-word-a-37,nll-word-a-38,nll-word-a-39,nll-word-a-40,nll-word-a-41,nll-word-a-42,nll-word-a-43,nll-word-a-44,nll-word-a-45,nll-word-a-46,nll-word-a-47,nll-word-a-48,nll-word-a-49,nll-word-a-50,nll-word-a-51,nll-word-a-52,nll-word-a-53,nll-word-a-54,nll-word-a-55,nll-word-a-56,nll-word-a-57,nll-word-a-58,nll-word-a-59,nll-word-a-60,nll-word-a-61,nll-word-a-62,nll-word-a-63,nll-word-a-64,nll-word-a-65,nll-word-a-66,nll-word-a-67,nll-word-a-68,nll-word-a-69,nll-word-a-70,nll-word-a-71,nll-word-a-72,nll-word-a-73,nll-word-a-74,nll-word-a-75,nll-word-a-76,nll-word-a-77,nll-word-a-78,nll-word-a-79,nll-word-a-80,nll-word-a-81,nll-word-a-82,nll-word-a-83,nll-word-a-84,nll-word-a-85,nll-word-a-86,nll-word-a-87,nll-word-a-88,nll-word-a-89,nll-word-a-90,nll-word-a-91,nll-word-a-92,nll-word-a-93,nll-word-a-94,nll-word-a-amount
"('was', 2.4959685802459717)","('a', 2.209317922592163)","('giant', 7.0449042320251465)","('of', 1.960446834564209)","('a', 0.13133208453655243)","('man', 0.13837668299674988)","('with', 0.7980827689170837)","('a', 2.024754285812378)","('gruff', 8.865464687347412)","('exterior', 0.04206778481602669)","('and', 3.438985824584961)","('a', 0.8553952574729919)","('heart', 0.6125353574752808)","('of', 4.633090019226074)","('gold', 1.1995534896850586)","('His', 0.9724254608154297)","('eyes', 0.4357004165649414)","('were', 2.621211051940918)","('the', 2.4348106384277344)","('color', 0.5705125331878662)","('of', 2.9067840576171875)","('the', 1.5710915327072144)","('sea', 0.027732163667678833)","('and', 2.729083299636841)","('his', 2.795332193374634)","('hands', 0.7948892116546631)","('were', 0.7438283562660217)","('as', 0.7580009698867798)","('big', 4.137185096740723)","('and', 0.44829481840133667)","('powerful', 1.726637601852417)","('as', 2.4029459953308105)","('a', 2.3654112815856934)","('lions', 3.553497474640608)","('paws', 5.112543344497681)","('He', 0.49356353282928467)","('had', 5.021599292755127)","('a', 0.020080959424376488)","('beard', 0.14249491691589355)","('that', 1.4406778812408447)","('was', 1.7194427251815796)","('as', 1.0364196300506592)","('wild', 4.3603410720825195)","('and', 1.2866250276565552)","('untamed', 3.381304979324341)","('as', 7.384742259979248)","('the', 0.8771578669548035)","('wind', 3.333980083465576)","('and', 0.055914849042892456)","('his', 0.05548921599984169)","('voice', 0.9293390512466431)","('was', 3.2291955947875977)","('like', 1.3163878917694092)","('a', 0.28853538632392883)","('thunderclap', 4.296265691518784)","('echoing', 3.57857084274292)","('through', 2.4732370376586914)","('the', 1.899109959602356)","('mountains', 0.00731385825201869)","('He', 6.8844428062438965)","('was', 0.12788067758083344)","('a', 1.1744961738586426)","('man', 0.12212858349084854)","('of', 3.389486789703369)","('few', 0.35950446128845215)","('words', 1.9085826873779297)","('but', 1.2791752815246582)","('when', 1.7928727865219116)","('he', 1.7376765012741089)","('spoke', 1.044713020324707)","('his', 4.294232368469238)","('words', 0.022511765360832214)","('carried', 0.3722589612007141)","('weight', 1.2603645324707031)","('and', 3.0822582244873047)","('wisdom', 0.2700333595275879)",,,,,,,,,,,,,,,,,,,76
"('marketplace', 11.059521675109863)","('was', 3.49855375289917)","('a', 2.62027907371521)","('hub', 6.143548011779785)","('of', 0.5338152647018433)","('activity', 2.6121811866760254)","('bustling', 9.293668746948242)","('with', 0.07059350609779358)","('people', 0.29111453890800476)","('animals', 2.798095226287842)","('and', 1.6390340328216553)","('goods', 7.037150859832764)","('The', 0.5937093496322632)","('air', 0.6396828293800354)","('was', 3.5131044387817383)","('filled', 0.5598008036613464)","('with', 2.113858222961426)","('a', 6.040555000305176)","('cacophony', 5.650699784047902)","('of', 6.1185994148254395)","('loud', 0.006991564761847258)","('voices', 0.005141369998455048)","('the', 0.04940368980169296)","('bleating', 6.059030096977949)","('of', 1.296601414680481)","('sheep', 0.8828080296516418)","('and', 2.5175671577453613)","('the', 7.276825428009033)","('barking', 0.5068795494735241)","('of', 1.1006444692611694)","('dogs', 0.25420093536376953)","('Visual', 0.8796597719192505)","('stimuli', 0.3557800352573395)","('were', 3.990938663482666)","('everywhere', 0.07107194513082504)","('with', 0.04685581102967262)","('bright', 0.18659524619579315)","('colors', 0.24344465136528015)","('elaborate', 12.83690357208252)","('fabrics', 3.667267322540283)","('and', 1.2311968803405762)","('intricate', 4.253652572631836)","('designs', 1.019014835357666)","('adorning', 11.933611631393433)","('the', 1.0707815885543823)","('stalls', 7.016427040100098)","('The', 6.851072311401367)","('smell', 0.0678214579820633)","('of', 0.4301166534423828)","('spices', 3.1465249061584473)","('fruits', 1.2251864671707153)","('and', 6.605701446533203)","('animals', 0.04369441419839859)","('permeated', 1.6490728783537634)","('the', 4.714894771575928)","('area', 0.7718133926391602)","('creating', 1.9289387464523315)","('an', 4.624020099639893)","('atmosphere', 0.24776042997837067)","('that', 2.424528121948242)","('was', 1.3976871967315674)","('both', 4.00750732421875)","('exotic', 0.04340897873044014)","('and', 0.24990437924861908)","('inviting', 5.523033618927002)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"('soon', 4.4204254150390625)","('as', 0.012076476588845253)","('the', 1.730251669883728)","('alarm', 6.860601425170898)","('clock', 3.7906084060668945)","('went', 0.8356457948684692)","('off', 0.02959337830543518)","('Jane', 0.5995423793792725)","('knew', 7.385960578918457)","('something', 5.008203029632568)","('was', 3.5043346881866455)","('different', 0.3760555684566498)","('She', 4.172085762023926)","('sat', 0.2189742773771286)","('up', 1.6105775833129883)","('in', 4.004759788513184)","('bed', 0.48169177770614624)","('and', 1.1092554330825806)","('looked', 0.047199055552482605)","('around', 0.8227051496505737)","('her', 1.8249627351760864)","('room', 1.1690330505371094)","('trying', 2.667003631591797)","('to', 1.9266687631607056)","('figure', 1.8204457759857178)","('out', 2.8657851219177246)","('what', 0.07717408984899521)","('it', 1.6004130840301514)","('was', 0.07774082571268082)","('And', 0.4325663149356842)","('then', 1.8724339008331299)","('she', 0.4478316903114319)","('saw', 0.21100428700447083)","('it', 5.5642266273498535)","('the', 0.9460811018943787)","('clock', 0.4038466811180115)","('on', 1.882077932357788)","('her', 0.8932123780250549)","('bedside', 6.143408298492432)","('table', 1.2198745012283325)","('was', 4.232008457183838)","('flashing', 2.3209753036499023)","('an', 1.526370882987976)","('unfamiliar', 1.4924135208129883)","('sequence', 0.04508231580257416)","('of', 2.4137566089630127)","('numbers', 4.693499565124512)","('As', 3.8356823921203613)","('she', 4.368294715881348)","('reached', 5.2323760986328125)","('to', 0.3120112419128418)","('turn', 0.42638811469078064)","('it', 0.4659383296966553)","('off', 5.012136936187744)","('she', 1.0422017574310303)","('felt', 3.951422929763794)","('a', 3.073826789855957)","('strange', 0.7012659311294556)","('tingling', 0.42768044024705887)","('sensation', 0.08125002682209015)","('all', 1.0766090154647827)","('over', 2.7418935298919678)","('her', 1.0400699377059937)","('body', 3.747657537460327)","('Suddenly', 2.0972304344177246)","('she', 0.0011145814787596464)","('was', 1.0492792129516602)","('transported', 3.686945915222168)","('to', 0.2015838772058487)","('a', 0.06144198030233383)","('different', 0.12198751419782639)","('time', 0.44721442461013794)","('and', 4.83634090423584)","('place', 0.6360916495323181)","('Confused', 2.530751347541809)","('and', 4.160488605499268)","('disoriented', 1.982300043106079)","('Jane', 2.5163633823394775)","('realized', 0.9951943159103394)","('that', 0.7851703763008118)","('she', 0.759379506111145)","('had', 0.6750734448432922)","('somehow', 8.612091064453125)","('gained', 0.1736563891172409)","('the', 1.3979862928390503)","('ability', 3.1987507343292236)","('to', 0.17674316465854645)","('time', 0.04670564457774162)","('travel', 1.2402011156082153)",,,,,,89
"('Sheldon', 15.732687309384346)","('I', 2.5132603645324707)","('am', 2.691040515899658)","('a', 3.0122294425964355)","('staunch', 10.149216175079346)","('proponent', 4.053666326217353)","('of', 0.002870251191779971)","('hand', 0.0747813731431961)","('dryers', 16.83060359954834)","('Firstly', 0.19078677892684937)","('they', 1.0947799682617188)","('are', 10.05827522277832)","('much', 0.1840636134147644)","('more', 1.5429558753967285)","('efficient', 1.0985841751098633)","('than', 3.9342055320739746)","('paper', 1.1077748537063599)","('towels', 1.7570925951004028)","('as', 1.0054678916931152)","('they', 5.327310085296631)","('dry', 0.3194853365421295)","('hands', 1.4575107097625732)","('quickly', 3.6700563430786133)","('and', 0.5500544309616089)","('hygienically', 12.155790328979492)","('Secondly', 9.958305358886719)","('they', 0.006901000626385212)","('are', 0.016266366466879845)","('environmentally', 0.02421121671795845)","('friendly', 0.5102071762084961)","('as', 0.6586809158325195)","('they', 0.01663375459611416)","('reduce', 0.6549510359764099)","('the', 1.170735478401184)","('need', 3.1116831302642822)","('to', 0.19377446174621582)","('use', 0.9400813579559326)","('paper', 1.5755035877227783)","('towels', 0.5137766003608704)","('Finally', 4.61110258102417)","('they', 0.8762624859809875)","('are', 1.98854660987854)","('costeffective', 4.122873544692993)","('as', 2.9177989959716797)","('they', 0.1750352680683136)","('eliminate', 1.1503715515136719)","('the', 2.9674758911132812)","('need', 0.025043992325663567)","('to', 0.5294381976127625)","('continually', 0.9243924021720886)","('purchase', 4.308736801147461)","('paper', 1.2885414361953735)","('towels', 0.10231214761734009)","('In', 0.9214825630187988)","('short', 0.5294939279556274)","('hand', 0.5907766819000244)","('dryers', 5.238317251205444)","('are', 0.5274142026901245)","('a', 0.8140386343002319)","('superior', 7.278134346008301)","('option', 2.4583780765533447)","('to', 2.050034284591675)","('paper', 0.06050265580415726)","('towels', 0.796076238155365)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"('Sheldon', 15.732728406786919)","('I', 2.513239860534668)","('am', 2.6910319328308105)","('a', 3.0122480392456055)","('staunch', 10.14916729927063)","('proponent', 4.05371555313468)","('of', 0.0028704889118671417)","('hand', 0.07477948814630508)","('dryers', 16.830419540405273)","('Firstly', 0.1907891482114792)","('they', 1.0947740077972412)","('are', 10.058320045471191)","('much', 0.18406282365322113)","('more', 1.542978048324585)","('efficient', 1.0986030101776123)","('than', 3.9342379570007324)","('paper', 1.1077799797058105)","('towels', 1.75709867477417)","('as', 1.0054634809494019)","('they', 5.327239990234375)","('dry', 0.3194667100906372)","('hands', 1.4575191736221313)","('quickly', 3.670032262802124)","('and', 0.5500544309616089)","('hygienically', 12.156047582626343)","('Secondly', 9.958389282226562)","('they', 0.0069006457924842834)","('are', 0.01626366749405861)","('environmentally', 0.024209586903452873)","('friendly', 0.5102030634880066)","('as', 0.6586808562278748)","('they', 0.01663469336926937)","('reduce', 0.6549334526062012)","('the', 1.170701265335083)","('need', 3.1117453575134277)","('to', 0.19378428161144257)","('use', 0.9400730729103088)","('paper', 1.575528621673584)","('towels', 0.5137746930122375)","('Finally', 4.611118316650391)","('they', 0.8762684464454651)","('are', 1.9885985851287842)","('costeffective', 4.122912049293518)","('as', 2.9177916049957275)","('they', 0.17502917349338531)","('eliminate', 1.1503593921661377)","('the', 2.9675300121307373)","('need', 0.02504306100308895)","('to', 0.5294310450553894)","('continually', 0.9244059920310974)","('purchase', 4.308624267578125)","('paper', 1.2885507345199585)","('towels', 0.10230795294046402)","('In', 0.9215046167373657)","('short', 0.5294881463050842)","('hand', 0.5907604098320007)","('dryers', 5.238263547420502)","('are', 0.527410089969635)","('a', 0.8140233159065247)","('superior', 7.278097152709961)","('option', 2.458395004272461)","('to', 2.050050735473633)","('paper', 0.060505013912916183)","('towels', 0.7960675954818726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"('dryers', 14.669021606445312)","('are', 1.8747670650482178)","('extremely', 5.960794448852539)","('unhygienic', 10.612627773080021)","('and', 1.414170503616333)","('inefficient', 5.897274971008301)","('They', 0.7997635006904602)","('blast', 2.37772274017334)","('bacteria', 10.879422187805176)","('and', 6.9786272048950195)","('pathogens', 1.3952146768569946)","('all', 4.5273118019104)","('over', 6.1155195236206055)","('ones', 7.492152631282806)","('hands', 1.6284027099609375)","('and', 2.712372303009033)","('the', 1.1682360172271729)","('surrounding', 3.6656179428100586)","('area', 4.897097587585449)","('Not', 1.081634759902954)","('to', 0.6234270930290222)","('mention', 5.220699310302734)","('they', 2.112975597381592)","('are', 0.02429010346531868)","('terribly', 2.558286666870117)","('loud', 1.4569913148880005)","('and', 6.6837029457092285)","('damaging', 2.504760265350342)","('to', 1.4969512224197388)","('the', 7.253121376037598)","('eardrums', 7.527349263429642)","('Paper', 0.06570208817720413)","('towels', 0.14419837296009064)","('are', 0.4819769561290741)","('clearly', 9.984071731567383)","('the', 0.7575846910476685)","('superior', 1.0249133110046387)","('hand', 8.356663703918457)","('drying', 1.8511755466461182)","('method', 4.729421615600586)","('They', 4.183640480041504)","('are', 4.33303165435791)","('more', 2.69360613822937)","('sanitary', 3.8557711839675903)","('and', 0.9062725305557251)","('gentle', 3.5370376110076904)","('on', 3.297630786895752)","('the', 0.0024833811912685633)","('hands', 0.7376473546028137)","('while', 5.56119441986084)","('also', 1.3287757635116577)","('being', 0.43831950426101685)","('quieter', 3.601646065711975)","('and', 3.050177574157715)","('better', 2.3744430541992188)","('for', 1.6880223751068115)","('the', 6.207891941070557)","('environment', 0.0005788319394923747)","('since', 1.2810413837432861)","('they', 4.799713611602783)","('can', 0.8385171294212341)","('be', 0.32784023880958557)","('recycled', 0.3696732819080353)","('Hand', 6.7855143547058105)","('dryers', 4.838363707065582)","('should', 0.6323394775390625)","('be', 3.3811123371124268)","('abolished', 0.5470277667045593)",,,,,,,,,,,,,,,,,,,,,,,,,,,68
"('bus', 8.318964004516602)","('With', 8.278305053710938)","('all', 6.128600597381592)","('those', 3.114042282104492)","('strangers', 3.331580400466919)","('and', 6.941543102264404)","('their', 3.1665406227111816)","('germs', 12.760878801345825)","('I', 0.15120917558670044)","('think', 2.122791290283203)","('not', 2.5121829509735107)","('Ill', 5.603572487831116)","('drive', 0.8897694945335388)","('us', 1.8205236196517944)","('in', 3.3868589401245117)","('my', 4.950699806213379)","('spotless', 9.387770175933838)","('and', 3.902796745300293)","('germfree', 10.548441648483276)","('vehicle', 4.951125144958496)","('pretends', 10.551339857280254)","('to', 0.2328304499387741)","('grab', 3.2696099281311035)","('car', 1.0663208961486816)","('keys', 8.832564353942871)","('To', 9.119266510009766)","('the', 0.4255485534667969)","('Cheesecake', 13.928375348448753)","('Factory', 0.7598416209220886)","('makes', 7.42445707321167)","('driving', 1.9778330326080322)","('sound', 8.573884010314941)","('effects', 2.357877731323242)","('We', 0.5376605987548828)","('have', 0.026138801127672195)","('arrived', 0.16495829820632935)","('Ive', 4.325343370437622)","('already', 4.517477035522461)","('looked', 9.246957778930664)","('at', 3.1570355892181396)","('the', 11.651056289672852)","('menu', 0.4214809238910675)","('and', 3.654232978820801)","('nutrition', 2.9081168174743652)","('information', 4.173008918762207)","('online', 1.5052798986434937)","('so', 2.6406524181365967)","('I', 2.9924166202545166)","('know', 3.8816423416137695)","('exactly', 5.556768894195557)","('what', 1.2160704135894775)","('to', 0.5038549900054932)","('order', 2.0848031044006348)","('to', 1.3836604356765747)","('maximize', 10.042125701904297)","('taste', 1.5939693450927734)","('and', 5.130478382110596)","('minimize', 5.035479545593262)","('unhealthy', 0.7729485630989075)","('fats', 1.685270071029663)","('May', 2.3776636123657227)","('I', 0.6251443028450012)","('suggest', 1.3170936107635498)","('we', 1.2947309017181396)","('start', 5.76275634765625)","('with', 4.485596656799316)","('an', 6.544045448303223)","('appetizer', 5.1043479442596436)","('of', 6.982236862182617)","('lettuce', 3.0836875438690186)","('wraps', 0.4028538763523102)","('and', 9.372343063354492)","('an', 0.7739753127098083)","('entree', 7.550105571746826)","('of', 2.677340507507324)","('pasta', 0.40500208735466003)","('primavera', 7.114461209159344)","('with', 1.3946547508239746)","('grilled', 6.237897872924805)","('chicken', 3.664377212524414)","('I', 1.6880438327789307)","('calculated', 4.526564598083496)","('that', 2.9243242740631104)","('should', 0.023213068023324013)","('provide', 0.051973383873701096)","('optimal', 6.058415412902832)","('nutrition', 7.756879806518555)","('as', 0.35659828782081604)","('well', 0.004045161418616772)","('as', 2.3959872722625732)","('leftovers', 5.94423520565033)","('for', 2.392434597015381)","('tomorrows', 14.441134929656982)","('lunch', 1.2943041324615479)",94
"('dryers', 14.669021606445312)","('are', 1.8747670650482178)","('extremely', 5.960794448852539)","('unhygienic', 10.612627773080021)","('and', 1.414170503616333)","('inefficient', 5.897274971008301)","('They', 0.7997635006904602)","('blast', 2.37772274017334)","('bacteria', 10.879422187805176)","('and', 6.9786272048950195)","('pathogens', 1.3952146768569946)","('all', 4.5273118019104)","('over', 6.1155195236206055)","('ones', 7.492152631282806)","('hands', 1.6284027099609375)","('and', 2.712372303009033)","('the', 1.1682360172271729)","('surrounding', 3.6656179428100586)","('area', 4.897097587585449)","('Not', 1.081634759902954)","('to', 0.6234270930290222)","('mention', 5.220699310302734)","('they', 2.112975597381592)","('are', 0.02429010346531868)","('terribly', 2.558286666870117)","('loud', 1.4569913148880005)","('and', 6.6837029457092285)","('damaging', 2.504760265350342)","('to', 1.4969512224197388)","('the', 7.253121376037598)","('eardrums', 7.527349263429642)","('Paper', 0.06570208817720413)","('towels', 0.14419837296009064)","('are', 0.4819769561290741)","('clearly', 9.984071731567383)","('the', 0.7575846910476685)","('superior', 1.0249133110046387)","('hand', 8.356663703918457)","('drying', 1.8511755466461182)","('method', 4.729421615600586)","('They', 4.183640480041504)","('are', 4.33303165435791)","('more', 2.69360613822937)","('sanitary', 3.8557711839675903)","('and', 0.9062725305557251)","('gentle', 3.5370376110076904)","('on', 3.297630786895752)","('the', 0.0024833811912685633)","('hands', 0.7376473546028137)","('while', 5.56119441986084)","('also', 1.3287757635116577)","('being', 0.43831950426101685)","('quieter', 3.601646065711975)","('and', 3.050177574157715)","('better', 2.3744430541992188)","('for', 1.6880223751068115)","('the', 6.207891941070557)","('environment', 0.0005788319394923747)","('since', 1.2810413837432861)","('they', 4.799713611602783)","('can', 0.8385171294212341)","('be', 0.32784023880958557)","('recycled', 0.3696732819080353)","('Hand', 6.7855143547058105)","('dryers', 4.838363707065582)","('should', 0.6323394775390625)","('be', 3.3811123371124268)","('abolished', 0.5470277667045593)",,,,,,,,,,,,,,,,,,,,,,,,,,,68
"('bus', 8.318964004516602)","('With', 8.278305053710938)","('all', 6.128600597381592)","('those', 3.114042282104492)","('strangers', 3.331580400466919)","('and', 6.941543102264404)","('their', 3.1665406227111816)","('germs', 12.760878801345825)","('I', 0.15120917558670044)","('think', 2.122791290283203)","('not', 2.5121829509735107)","('Ill', 5.603572487831116)","('drive', 0.8897694945335388)","('us', 1.8205236196517944)","('in', 3.3868589401245117)","('my', 4.950699806213379)","('spotless', 9.387770175933838)","('and', 3.902796745300293)","('germfree', 10.548441648483276)","('vehicle', 4.951125144958496)","('pretends', 10.551339857280254)","('to', 0.2328304499387741)","('grab', 3.2696099281311035)","('car', 1.0663208961486816)","('keys', 8.832564353942871)","('To', 9.119266510009766)","('the', 0.4255485534667969)","('Cheesecake', 13.928375348448753)","('Factory', 0.7598416209220886)","('makes', 7.42445707321167)","('driving', 1.9778330326080322)","('sound', 8.573884010314941)","('effects', 2.357877731323242)","('We', 0.5376605987548828)","('have', 0.026138801127672195)","('arrived', 0.16495829820632935)","('Ive', 4.325343370437622)","('already', 4.517477035522461)","('looked', 9.246957778930664)","('at', 3.1570355892181396)","('the', 11.651056289672852)","('menu', 0.4214809238910675)","('and', 3.654232978820801)","('nutrition', 2.9081168174743652)","('information', 4.173008918762207)","('online', 1.5052798986434937)","('so', 2.6406524181365967)","('I', 2.9924166202545166)","('know', 3.8816423416137695)","('exactly', 5.556768894195557)","('what', 1.2160704135894775)","('to', 0.5038549900054932)","('order', 2.0848031044006348)","('to', 1.3836604356765747)","('maximize', 10.042125701904297)","('taste', 1.5939693450927734)","('and', 5.130478382110596)","('minimize', 5.035479545593262)","('unhealthy', 0.7729485630989075)","('fats', 1.685270071029663)","('May', 2.3776636123657227)","('I', 0.6251443028450012)","('suggest', 1.3170936107635498)","('we', 1.2947309017181396)","('start', 5.76275634765625)","('with', 4.485596656799316)","('an', 6.544045448303223)","('appetizer', 5.1043479442596436)","('of', 6.982236862182617)","('lettuce', 3.0836875438690186)","('wraps', 0.4028538763523102)","('and', 9.372343063354492)","('an', 0.7739753127098083)","('entree', 7.550105571746826)","('of', 2.677340507507324)","('pasta', 0.40500208735466003)","('primavera', 7.114461209159344)","('with', 1.3946547508239746)","('grilled', 6.237897872924805)","('chicken', 3.664377212524414)","('I', 1.6880438327789307)","('calculated', 4.526564598083496)","('that', 2.9243242740631104)","('should', 0.023213068023324013)","('provide', 0.051973383873701096)","('optimal', 6.058415412902832)","('nutrition', 7.756879806518555)","('as', 0.35659828782081604)","('well', 0.004045161418616772)","('as', 2.3959872722625732)","('leftovers', 5.94423520565033)","('for', 2.392434597015381)","('tomorrows', 14.441134929656982)","('lunch', 1.2943041324615479)",94
"('based', 0.47236359119415283)","('on', 9.51329231262207)","('my', 0.057006802409887314)","('personal', 2.4755327701568604)","('experience', 4.180203437805176)","('and', 0.6650496125221252)","('scientific', 2.4641294479370117)","('research', 8.1001558303833)","('I', 1.8293198347091675)","('believe', 0.2890124022960663)","('that', 1.1406394243240356)","('hand', 2.098015546798706)","('dryers', 10.363431215286255)","('are', 6.308700084686279)","('a', 0.09065041691064835)","('more', 1.078201413154602)","('hygienic', 12.840769414789975)","('option', 0.11927114427089691)","('compared', 0.010395663790404797)","('to', 3.021773338317871)","('paper', 5.1864800453186035)","('towels', 0.06682388484477997)","('They', 6.42586088180542)","('help', 0.5489165186882019)","('reduce', 0.9006969928741455)","('the', 3.2417709827423096)","('amount', 4.92420768737793)","('of', 3.340963840484619)","('waste', 0.7074966430664062)","('generated', 1.7460986375808716)","('in', 0.019641311839222908)","('restrooms', 6.391361236572266)","('and', 2.457549571990967)","('are', 10.19849967956543)","('costeffective', 1.7312088906764984)","('for', 2.33518648147583)","('businesses', 6.247950553894043)","('However', 0.9667640328407288)","('some', 0.13775646686553955)","('studies', 2.7020926475524902)","('have', 5.272561073303223)","('shown', 1.1783974170684814)","('that', 4.116422176361084)","('hand', 0.03120170161128044)","('dryers', 8.431982040405273)","('can', 0.5565493702888489)","('spread', 0.7267810702323914)","('bacteria', 0.14465028047561646)","('and', 1.873369574546814)","('viruses', 0.06442781537771225)","('if', 0.00902655441313982)","('they', 1.4963748455047607)","('are', 6.675854206085205)","('not', 1.3211166858673096)","('properly', 0.9582637548446655)","('maintained', 2.1459286212921143)","('and', 5.081674575805664)","('cleaned', 1.3073580265045166)","('Therefore', 0.4103376865386963)","('it', 0.7380969524383545)","('is', 1.4669263362884521)","('important', 2.309734582901001)","('to', 1.55376136302948)","('use', 0.6769214272499084)","('highquality', 4.074600100517273)","('hand', 0.03818921372294426)","('dryers', 1.888275682926178)","('and', 0.9439225792884827)","('ensure', 0.47918254137039185)","('that', 3.1178336143493652)","('they', 5.157839775085449)","('are', 0.3161935806274414)","('regularly', 0.09888819605112076)","('cleaned', 0.7683956027030945)","('and', 0.06918486207723618)","('maintained', 0.089195616543293)","('to', 2.4648289680480957)","('prevent', 3.164841413497925)","('any', 0.5259023308753967)","('potential', 0.49449166655540466)","('health', 0.16083957254886627)","('risks', 3.2091622352600098)",,,,,,,,,,,,,82
