mt,id,question_id,conversation,model_name,exp,time,nll,N100,N150,N200,N250,N300,N350,N400,word_speed,line_speed,pixel_speed
1.5,307,86,1,alpaca-13b,1.25,23201,130.4479998461902,59,26,7,2,1,1,0,351.530303030303,3866.8333333333335,1.7780375144427911
1.5,307,86,2,llama-13b,1.75,23820,224.6988650697822,52,33,11,4,1,0,0,248.125,2977.5,1.318110111057719
1.5,485,86,1,alpaca-13b,1.25,18707,130.4479998461902,52,24,11,3,3,1,1,283.43939393939394,3117.8333333333335,1.0351757282769416
1.5,485,86,2,llama-13b,1.75,20869,224.6988650697822,70,30,14,7,3,2,2,217.38541666666666,2608.625,1.599321791685988
1.5,481,86,1,alpaca-13b,1.25,27214,130.4479998461902,57,17,1,0,0,0,0,412.3333333333333,4535.666666666667,1.505921434186598
1.5,481,86,2,llama-13b,1.75,42934,224.6988650697822,56,20,8,6,4,3,2,447.2291666666667,5366.75,3.2903005320928753
1.5,316,86,1,alpaca-13b,1.75,28687,130.4479998461902,58,22,8,4,0,0,0,434.6515151515151,4781.166666666667,2.198463953140828
1.5,316,86,2,llama-13b,1.25,34855,224.6988650697822,72,33,16,7,4,3,0,363.0729166666667,4356.875,1.928745924471738
1.5,39,86,1,alpaca-13b,1.25,31722,130.4479998461902,53,31,15,10,5,3,2,480.6363636363636,5287.0,2.4310549559568218
1.5,39,86,2,llama-13b,1.75,31895,224.6988650697822,48,15,4,2,1,1,0,332.2395833333333,3986.875,1.7649505454318197
1.5,385,86,1,alpaca-13b,1.0,16770,130.4479998461902,53,17,10,3,2,1,0,254.0909090909091,2795.0,1.2851898244560842
1.5,385,86,2,llama-13b,2.0,23461,224.6988650697822,64,37,19,11,8,5,5,244.38541666666666,2932.625,1.2982443877214587
1.5,101,86,1,alpaca-13b,1.75,30129,130.4479998461902,75,32,17,8,4,1,0,456.5,5021.5,2.3089734180702064
1.5,101,86,2,llama-13b,1.25,38236,224.6988650697822,56,29,18,11,8,7,5,398.2916666666667,4779.5,2.115837876003482
1.5,233,86,1,alpaca-13b,1.25,23250,130.4479998461902,70,39,20,13,2,0,0,352.27272727272725,3875.0,1.2865684333371943
1.5,233,86,2,llama-13b,1.75,32350,224.6988650697822,65,30,18,9,5,4,2,336.9791666666667,4043.75,2.4791825176597686
1.5,187,86,1,alpaca-13b,2.0,35339,130.4479998461902,115,69,23,9,6,4,2,535.439393939394,5889.833333333333,2.7082482532172665
